path,x,y
../Rocks-CENTERED/000391.png,3,48
../Rocks-CENTERED/002586.png,62,0
../Rocks-CENTERED/003840.png,58,0
../Rocks-CENTERED/003698.png,17,30
../Rocks-CENTERED/003868.png,38,2
../Rocks-CENTERED/004861.png,28,36
../Rocks-CENTERED/001919.png,64,42
../Rocks-CENTERED/004875.png,24,14
../Rocks-CENTERED/002582.png,27,21
../Rocks-CENTERED/003844.png,8,21
../Rocks-CENTERED/000395.png,4,26
../Rocks-CENTERED/001935.png,59,69
../Rocks-CENTERED/004695.png,66,26
../Rocks-CENTERED/004859.png,21,25
../Rocks-CENTERED/004681.png,21,45
../Rocks-CENTERED/001921.png,30,8
../Rocks-CENTERED/000381.png,35,8
../Rocks-CENTERED/003688.png,51,42
../Rocks-CENTERED/002596.png,44,55
../Rocks-CENTERED/003850.png,57,50
../Rocks-CENTERED/003878.png,68,53
../Rocks-CENTERED/004871.png,10,2
../Rocks-CENTERED/001909.png,28,50
../Rocks-CENTERED/004865.png,2,50
../Rocks-CENTERED/000356.png,25,19
../Rocks-CENTERED/001048.png,2,66
../Rocks-CENTERED/002541.png,7,45
../Rocks-CENTERED/003887.png,40,12
../Rocks-CENTERED/004130.png,69,46
../Rocks-CENTERED/003139.png,7,12
../Rocks-CENTERED/004656.png,67,0
../Rocks-CENTERED/002227.png,64,66
../Rocks-CENTERED/000430.png,44,8
../Rocks-CENTERED/000424.png,48,52
../Rocks-CENTERED/004642.png,11,46
../Rocks-CENTERED/002233.png,1,40
../Rocks-CENTERED/002555.png,49,11
../Rocks-CENTERED/003893.png,13,62
../Rocks-CENTERED/004124.png,12,29
../Rocks-CENTERED/000342.png,10,52
